"CarrierName","Program","SubProgram","Policy","PolicyEffective","PolicyExpiration","PolicyCancellation","PolicyReinstatement","State","ASLOB","Product","TransactionType","WrittenPremium","Taxes","PolicyFees","Commission","CollectedPremium","UncollectedPremiumUnder_30_Days","UncollectedPremium_31_60_Days","UncollectedPremium_61_90_Days","UncollectedPremiumOver_90_Days"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-06-0000002037-01","06/12/2025","06/12/2026","","","MD","9.001","Personal Boaters","Renweal","0.0","","1.0","2.48","31.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-06-0000002038-01","06/12/2025","06/12/2026","","","AZ","9.001","Personal Boaters","Renweal","0.0","","5.0","0.0","57.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-06-0000002042-01","06/15/2025","06/15/2026","","","MI","9.001","Personal Boaters","Renweal","0.0","","5.0","0.0","67.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-06-0000002048-01","06/15/2025","06/15/2026","","","NY","9.001","Personal Boaters","Renweal","0.0","","5.0","0.0","68.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-06-0000002054-01","06/13/2025","06/13/2026","","","GA","9.001","Personal Boaters","Renweal","0.0","","5.0","0.0","178.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-06-0000002059-01","06/13/2025","06/13/2026","","","CA","9.001","Personal Boaters","Renweal","0.0","","5.0","8.3","83.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-06-0000002067-01","06/14/2025","06/14/2026","","","CA","9.001","Personal Boaters","Renweal","0.0","","1.0","22.6","226.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-06-0000002079-01","06/15/2025","06/15/2026","","","NY","9.001","Personal Boaters","Renweal","0.0","","5.0","0.0","224.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-06-0000002082-01","06/16/2025","06/16/2026","","","CA","9.001","Personal Boaters","Renweal","0.0","","1.0","0.0","28.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-06-0000002091-01","06/19/2025","06/19/2026","","","MI","9.001","Personal Boaters","Renweal","0.0","","5.0","0.0","21.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-06-0000002094-01","06/17/2025","06/17/2026","","","CA","9.001","Personal Boaters","Renweal","0.0","","5.0","0.0","47.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-06-0000002095-01","06/17/2025","06/17/2026","","","CA","9.001","Personal Boaters","Renweal","0.0","","5.0","0.0","41.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-06-0000002099-01","06/17/2025","06/17/2026","","","NY","9.001","Personal Boaters","Renweal","0.0","","5.0","0.0","99.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2024-06-0000002102-01","06/18/2025","06/18/2026","","","IL","9.001","Personal Boaters","Renweal","0.0","","5.0","0.0","115.0","0.0","0.0","0.0","0.0"
